Age (Ma),GMST_degC
4.154,3.986693297622815
4.153,3.9811800126270347
4.152,3.978929262879382
4.151,3.989991947582758
4.15,3.9913935176507547
4.149,3.990406105199053
4.148,3.995660374765338
4.147,3.9777535957924313
4.146,3.947077160266934
4.145,3.918159954019513
4.144,3.89015903484609
4.143,4.0052872089427165
4.142,3.8380320808945356
4.141,3.8240746790342928
4.14,3.737400930807313
4.139,3.911302185788644
4.138,3.8719460873568066
4.137,3.9218344986337956
4.136,3.9060030938641397
4.135,3.8877129436652287
4.134,3.8272601766157397
4.133,3.8235540788215743
4.132,3.932516173842265
4.131,3.836161813097924
4.13,3.5937593221534283
4.129,3.566042344488752
4.128,3.5207922213257885
4.127,3.5217024079244466
4.126,3.5089314870972217
4.125,3.664713624455708
4.124,3.649904450293702
4.123,3.612403901014055
4.122,3.5748064401293007
4.121,3.5659454309745726
4.12,3.640550228559389
4.119,3.158772163290185
4.118,3.297875577202165
4.117,3.3315539839457142
4.116,3.788519951690618
4.115,3.898210493710316
4.114,4.009298222625647
4.113,4.045913929723202
4.112,4.110795354709931
4.111,4.004588795689628
4.11,3.8185487469588413
4.109,3.8786705161450064
4.108,3.889311011228916
4.107,4.027743199030803
4.106,4.029848831361998
4.105,4.263322607563893
4.104,3.9984956113358336
4.103,3.9764933403643363
4.102,4.153039417802205
4.101,4.082966822508477
4.1,4.03287678539512
4.099,3.9656678060768833
4.098,3.898130905163113
4.097,3.89583956380776
4.096,3.893547846883158
4.095,3.936768411770972
4.094,3.9549142865141644
4.093,3.9728938146444905
4.092,3.9762885964054338
4.091,3.979682543564361
4.09,3.9285376046704794
4.089,3.9541320424405852
4.088,3.913482174464923
4.087,3.9820604413701135
4.086,3.999337265128042
4.085,4.007608761981494
4.084,4.221589026617864
4.083,4.048425286273957
4.082,4.105513823799797
4.081,4.153310254073036
4.08,4.265168450868109
4.079,4.271710957875368
4.078,4.178579346785713
4.077,4.2272502086176384
4.076,3.815226406941577
4.075,4.145820266460559
4.074,4.086491446795932
4.073,4.246233777762796
4.072,4.201747340698562
4.071,4.188118168990374
4.07,4.230043836100889
4.069,4.266248143550157
4.068,4.280478165179615
4.067,4.296934778941519
4.066,4.367745680392191
4.065,4.333744827916843
4.064,4.347272162164227
4.063,4.388038090242395
4.062,4.453958931644041
4.061,4.503933390808954
4.06,4.406657189420384
4.059,4.5626575041362
4.058,4.376604605535808
4.057,4.344223925718078
4.056,4.29136432226226
4.055,4.238292037346968
4.054,4.176820213468983
4.053,4.106424508995566
4.052,4.020895420476507
4.051,3.44134776581268
4.05,3.816091464808286
4.049,3.704824353190608
4.048,3.604868653395784
4.047,3.600338425460031
4.046,3.900780520055934
4.045,3.6083407650608357
4.044,3.7098995756089286
4.043,3.6559474010894744
4.042,3.6650486443253176
4.041,3.7592695364474307
4.04,3.9364158096666833
4.039,3.766605137545501
4.038,3.920592568567957
4.037,3.6879105021689944
4.036,3.984738079074077
4.035,4.0166239102056185
4.034,4.058330885926608
4.033,4.099910877203183
4.032,4.1897734025450974
4.031,4.22622548147901
4.03,4.247988497676103
4.029,4.32433094677059
4.028,4.392013495012615
4.027,4.3826814488035595
4.026,4.721831726095536
4.025,4.700590630477111
4.024,4.743043510510404
4.023,4.6341089913930364
4.022,4.165342439454415
4.021,4.127577178064559
4.02,4.029378716703183
4.019,3.987294256319802
4.018,3.888347799834865
4.017,3.7934175088604434
4.016,3.5796463868070507
4.015,3.857032205559642
4.014,3.7597062688319713
4.013,3.6936752424223713
4.012,3.73977803445187
4.011,3.60179261266691
4.01,3.616532393212619
4.009,3.653086058911688
4.008,3.644972471952202
4.007,3.732069424971097
4.006,3.76831918686268
4.005,3.6465945859463167
4.004,4.21354285805621
4.003,4.029770754813158
4.002,4.455507559600882
4.001,4.014379233894428
4.0,4.127779378624918
3.999,3.9283488564835847
3.998,3.8881397719364257
3.997,3.9219438581663995
3.996,3.8455639214125408
3.995,3.7687674494531014
3.994,3.716975049625887
3.993,3.663711187130855
3.992,3.615269636416121
3.991,3.5389987739434767
3.99,3.4607077322386655
3.989,3.3110443659052904
3.988,3.265150690664346
3.987,3.11845795596302
3.986,3.1216024484363754
3.985,3.033845945715873
3.984,2.6062496307187475
3.983,2.918151810102938
3.982,2.921331350648318
3.981,3.9056687526867657
3.98,3.941858990945672
3.979,3.965459053984496
3.978,3.915918014005099
3.977,3.934892300120769
3.976,3.933227415861081
3.975,3.9385879613020225
3.974,3.6653655695466716
3.973,3.7774655137437776
3.972,4.052382267106216
3.971,4.08048353510626
3.97,4.119329880771532
3.969,4.159978602758911
3.968,4.180162085979332
3.967,4.203664652481978
3.966,4.241257289246191
3.965,4.26934710793259
3.964,4.297377433990073
3.963,4.334613613620797
3.962,4.365531178985068
3.961,4.419561184298212
3.96,4.240048510000013
3.959,4.3866752823029085
3.958,4.416323993138337
3.957,4.409765990141658
3.956,4.345514475759766
3.955,4.328749735255248
3.954,4.332062162612856
3.953,4.345774433146081
3.952,4.337885092751468
3.951,4.007972037236208
3.95,4.262835314129081
3.949,4.553880001794222
3.948,4.55427033999252
3.947,4.551359066094905
3.946,4.560711382912735
3.945,4.519982660989834
3.944,4.523567251178338
3.943,4.504519482990067
3.942,4.491679888081151
3.941,4.480883904962634
3.94,4.485264257332134
3.939,4.531920766952547
3.938,4.578406627478438
3.937,4.56552881725431
3.936,4.519271648247684
3.935,4.497905698017312
3.934,4.305726082362995
3.933,4.295674120750178
3.932,4.296554517565135
3.931,3.9879859527729593
3.93,4.26714068010257
3.929,4.277964144929261
3.928,4.268331580699736
3.927,4.017654385131804
3.926,3.8231206175271217
3.925,3.835232710702976
3.924,3.748487554685048
3.923,3.730352714260114
3.922,3.7055311638923385
3.921,3.6682231660156126
3.92,3.644244394361455
3.919,3.7475409413527525
3.918,4.031392199935275
3.917,3.8654228026805924
3.916,3.9195785491099975
3.915,4.122179093906949
3.914,4.183210936301887
3.913,3.9607981932221086
3.912,3.9793353710127137
3.911,4.031065122487899
3.91,4.011550603534778
3.909,4.066632427923689
3.908,4.098822754034161
3.907,4.135054378407911
3.906,4.152627534693484
3.905,4.1701777924847985
3.904,4.299575095140528
3.903,4.294269676147338
3.902,4.304012579118244
3.901,4.302250278790367
3.9,4.2332903836904014
3.899,4.23739142725367
3.898,4.213335762442011
3.897,4.436041834156518
3.896,4.128836573255291
3.895,4.201517430130683
3.894,4.294720612639178
3.893,4.292107352969027
3.892,4.2945413297111195
3.891,4.464415226915523
3.89,4.503437563025234
3.889,4.483825544482494
3.888,4.469298654727181
3.887,4.42285453637914
3.886,4.381489095682584
3.885,4.3272975726860645
3.884,4.23621740898786
3.883,4.1937601682459045
3.882,4.129635193374278
3.881,4.103586649501107
3.88,4.063095026940101
3.879,4.049999794542852
3.878,3.9584831949725094
3.877,3.9994801917088525
